City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,penzance,50.1186,-5.5371,16.38,84,99,9.55,GB,1691788319
330,soran,49.78,72.8506,10.27,89,69,3.94,KZ,1691788320
331,lom sak,16.7798,101.2422,24.14,90,95,1.64,TH,1691788320
332,salpazari,40.9411,39.1956,23.06,97,100,1.34,TR,1691788320
333,orsk,51.2049,58.5668,15.47,51,0,1.91,RU,1691788152
334,anori,-3.7728,-61.6442,34.9,37,72,1.41,BR,1691788320
335,polyarnyy,69.1989,33.4478,16.89,64,91,2.43,RU,1691788320
336,yaren,-0.5472,166.916,28.79,72,16,4.2,NR,1691788320
337,pontchateau,47.4333,-2.0833,20.03,100,100,4.12,FR,1691788321
338,hinton,53.4001,-117.5857,16.89,50,98,3.02,CA,1691788321
339,al hawatah,13.4167,34.6333,26.29,78,85,6.53,SD,1691788321
340,tshabong,-26.05,22.45,16.72,34,0,4.48,BW,1691788322
341,kapa'a,22.0752,-159.319,30.18,75,40,6.17,US,1691788322
342,kuala belait,4.5833,114.1833,24.71,89,83,2.48,BN,1691788322
343,afaahiti,-17.75,-149.2833,25.93,67,74,6.88,PF,1691788322
344,talcahuano,-36.7167,-73.1167,11.82,62,20,6.17,CL,1691788323
345,namsos,64.4662,11.4957,11.95,87,66,0.51,NO,1691788323
346,bushehr,28.9684,50.8385,34.44,61,0,0.83,IR,1691788323
347,sol'-iletsk,51.1631,54.9918,19.29,46,0,3.37,RU,1691788323
348,balatonboglar,46.7752,17.6441,19.97,56,0,1.25,HU,1691788323
349,port-gentil,-0.7193,8.7815,24.98,88,20,3.09,GA,1691788324
350,truth or consequences,33.1284,-107.2528,34.39,27,20,2.57,US,1691788324
351,chengde,40.9725,117.9361,19.8,98,100,0.72,CN,1691788324
352,quellon,-43.1167,-73.6167,8.14,66,75,2.06,CL,1691788324
353,urucara,-2.5364,-57.76,32.45,44,63,0.75,BR,1691788324
